1778277195.677253000,74
1778277195.805754000,74
1778277244.344449000,74
1778277317.992138000,74
1778277318.066112000,74
1778277393.415001000,74
1778277466.865943000,74
1778277531.726747000,74
1778277531.827910000,74
1778277589.525614000,74
1778277632.877688000,74
1778277679.437623000,74
1778277679.607279000,74
1778277737.728682000,74
1778277791.183511000,74
1778277841.919818000,74
1778277841.973905000,74
1778277885.100021000,74
1778277927.477454000,74
1778277987.454085000,74
1778278035.436289000,74
1778278103.751716000,74
1778278170.989514000,74
1778278218.179274000,74
1778278294.838254000,74
1778278294.934021000,74
1778278346.036709000,74
1778278414.316756000,74
1778278489.244918000,74
1778278489.860270000,74
1778278545.282634000,74
1778278620.024878000,74
1778278697.999562000,74
1778278770.858071000,74
1778278845.230877000,74
1778278892.579446000,74
1778278943.738688000,74
1778278943.797568000,74
1778279001.664893000,74
1778279072.215617000,74
1778279133.425715000,74
1778279194.669556000,74
1778279254.069150000,74
1778279318.609153000,74
1778279318.696958000,74
1778279371.564998000,74
1778279433.137229000,74
1778279433.238627000,74
1778279499.704410000,74
1778279562.495294000,74
1778279624.213583000,74
1778279699.883473000,74
1778279766.128187000,74
1778279766.179782000,74
1778279826.834891000,74
1778279892.597819000,74
1778279892.760290000,74
1778279947.998535000,74
1778279992.480482000,74
1778279992.779098000,74
1778280063.063011000,74
1778280130.079775000,74
1778280199.230462000,74
1778280204.453055000,74
1778280264.033392000,74
1778280264.079868000,74
1778280311.396348000,74
1778280367.761504000,74
1778280428.362946000,74
1778280428.515501000,74
1778280491.806152000,74
1778280558.273824000,74
1778280558.320807000,74
1778280623.280363000,74
1778280623.327793000,74
1778280698.881137000,74
1778280698.930475000,74
1778280748.216141000,74
1778280820.477769000,74
1778280820.516929000,74
